Mean Execution Time (s),Speedup (%),Efficiency (%)
4.8500000000000007e-05,40235782.26804124,40235782.26804124
5.05e-05,38642285.94059406,19321142.97029703
5.05e-05,38642285.94059406,12880761.980198022
5.1e-05,38263440.0,9565860.0
4.933333333333333e-05,39556123.783783786,7911224.756756758
5.066666666666667e-05,38515173.15789474,6419195.52631579
5.183333333333333e-05,37648272.15434084,5378324.593477263
5.116666666666667e-05,38138803.38762215,4767350.4234527685
5.8e-05,33645438.62068966,3738382.068965517
6.266666666666667e-05,31139927.23404256,3113992.723404256
